Question,App,Ground Truth,Our RAG System
Q1,1019230398,Yes,Yes
Q1,1063248233,Yes,Yes
Q1,1112006222,Yes,Yes
Q1,1155742410,Yes,No
Q1,1157882317,Yes,Yes
Q1,1158555867,Yes,Yes
Q1,1193006281,Yes,Yes
Q1,1212999482,Yes,Yes
Q1,1218240628,Yes,Yes
Q1,1234966740,Yes,Yes
Q1,1236566346,Yes,Yes
Q1,1273620738,Yes,Yes
Q1,1276818064,Yes,Yes
Q1,1289018369,Yes,Yes
Q1,1291472331,Yes,Yes
Q1,1300107718,Yes,Yes
Q1,1312926037,Yes,Yes
Q1,1321563535,Yes,Yes
Q1,1332580637,Yes,Yes
Q1,1361356590,Yes,Yes
Q1,1373639965,Yes,Yes
Q1,1387949872,Yes,Yes
Q1,1396647655,Yes,Yes
Q1,1412024302,Yes,Yes
Q1,1421810571,Yes,Yes
Q1,1435692352,Yes,Yes
Q1,1436471710,Yes,Yes
Q1,1441112707,Yes,Yes
Q1,1444463273,Yes,Yes
Q1,1453180679,Yes,Yes
Q1,1458156758,Yes,Yes
Q1,1458846512,Yes,Yes
Q1,1460599496,Yes,Yes
Q1,1463607627,Yes,Yes
Q1,1465984722,Yes,Yes
Q1,1478859313,Yes,Yes
Q1,1485424497,Yes,Yes
Q1,1489944782,Yes,Yes
Q1,1490281801,Yes,Yes
Q1,1490544446,Yes,Yes
Q1,1491792162,Yes,Yes
Q1,1492803107,Yes,Yes
Q1,1493155192,Yes,Yes
Q1,1494699802,Yes,Yes
Q1,1498229813,Yes,Yes
Q1,1498350923,Yes,Yes
Q1,1499411785,Yes,Yes
Q1,1500085577,Yes,Yes
Q1,1501731777,Yes,Yes
Q1,1503638078,Yes,Yes
Q1,1505323328,Yes,Yes
Q1,1511247522,Yes,No
Q1,1513257639,Yes,Yes
Q1,1517360968,Yes,Yes
Q1,1518205206,Yes,Yes
Q1,1518619206,Yes,Yes
Q1,1519041530,Yes,Yes
Q1,1519501105,Yes,Yes
Q1,1521793590,Yes,Yes
Q1,1523646875,Yes,Yes
Q1,1523689201,Yes,Yes
Q1,1524333909,Yes,Yes
Q1,1525390977,Yes,Yes
Q1,1534494364,Yes,Yes
Q1,1534773757,Yes,Yes
Q1,1536846201,Yes,Yes
Q1,1539285742,Yes,Yes
Q1,1539382364,Yes,Yes
Q1,1547099008,Yes,Yes
Q1,1547157572,Yes,Yes
Q1,1547374655,Yes,Yes
Q1,1549845703,Yes,Yes
Q1,1551123268,Yes,Yes
Q1,1552340992,Yes,Yes
Q1,1553723926,Yes,Yes
Q1,1563184080,Yes,Yes
Q1,1564740564,Yes,No
Q1,1565696391,Yes,Yes
Q1,1569749201,Yes,Yes
Q1,1575168306,Yes,Yes
Q1,1575579611,Yes,Yes
Q1,1576425396,Yes,Yes
Q1,1576666232,Yes,Yes
Q1,1580242680,Yes,Yes
Q1,1580933137,Yes,Yes
Q1,1582815027,Yes,Yes
Q1,1584145241,Yes,Yes
Q1,1588978095,Yes,Yes
Q1,1589038446,Yes,Yes
Q1,1593075782,Yes,Yes
Q1,1599626050,Yes,Yes
Q1,1600102496,Yes,Yes
Q1,1601915333,Yes,Yes
Q1,1603796306,Yes,Yes
Q1,1606376184,Yes,Yes
Q1,1606688885,Yes,Yes
Q1,1607980507,Yes,Yes
Q1,1608367638,Yes,Yes
Q1,1613079261,Yes,Yes
Q1,1620941994,Yes,Yes
Q1,1624198363,Yes,Yes
Q1,1627653934,Yes,Yes
Q1,1634039293,Yes,Yes
Q1,1635699582,Yes,Yes
Q1,1639682531,Yes,Yes
Q1,1644747151,Yes,Yes
Q1,1645536385,Yes,Yes
Q1,1658145102,Yes,Yes
Q1,1660935129,Yes,Yes
Q1,1665348316,Yes,Yes
Q1,1666827532,Yes,Yes
Q1,1667268266,Yes,Yes
Q1,1669683359,Yes,Yes
Q1,1671328374,Yes,Yes
Q1,1671440901,Yes,Yes
Q1,1671855767,Yes,Yes
Q1,354065335,Yes,Yes
Q1,406042878,Yes,Yes
Q1,526047934,Yes,Yes
Q1,528285610,Yes,Yes
Q1,6443576801,Yes,Yes
Q1,6443679619,Yes,Yes
Q1,6443794589,Yes,Yes
Q1,6444038155,Yes,Yes
Q1,6444067591,No,No
Q1,6444658101,Yes,Yes
Q1,6444764148,Yes,Yes
Q1,6446163219,Yes,Yes
Q1,6446167323,Yes,Yes
Q1,6446434968,Yes,Yes
Q1,6446494726,Yes,Yes
Q1,6446916960,Yes,Yes
Q1,6447015739,Yes,Yes
Q1,6447095050,Yes,Yes
Q1,6447270302,Yes,Yes
Q1,6447466531,Yes,Yes
Q1,6448851631,Yes,Yes
Q1,6449004236,Yes,Yes
Q1,6450326411,Yes,Yes
Q1,6450531859,Yes,Yes
Q1,6450597254,Yes,Yes
Q1,6450800619,Yes,Yes
Q1,6450861283,Yes,Yes
Q1,6450941099,Yes,Yes
Q1,6451497403,Yes,Yes
Q1,6454837552,Yes,Yes
Q1,6456222443,Yes,Yes
Q1,6458192502,Yes,Yes
Q1,6462189608,Yes,Yes
Q1,6463510886,Yes,Yes
Q1,6464433358,Yes,Yes
Q1,6465690765,Yes,Yes
Q1,6466439617,Yes,Yes
Q1,6466716476,Yes,Yes
Q1,6466904931,Yes,Yes
Q1,6467943003,Yes,Yes
Q1,6468129359,Yes,Yes
Q1,6469035694,Yes,Yes
Q1,6470471214,Yes,Yes
Q1,6471280965,Yes,Yes
Q1,6471412523,Yes,Yes
Q1,6472111765,Yes,No
Q1,6472705015,Yes,Yes
Q1,6473184318,Yes,Yes
Q1,6473197423,Yes,Yes
Q1,6473814624,Yes,N/A
Q1,6473851170,No,Yes
Q1,6473900916,Yes,Yes
Q1,6474006415,Yes,Yes
Q1,6474216442,Yes,Yes
Q1,6474274341,Yes,Yes
Q1,6475274936,Yes,Yes
Q1,6475366694,Yes,Yes
Q1,6475717895,Yes,Yes
Q1,6475880853,Yes,Yes
Q1,6476157808,Yes,Yes
Q1,6476430669,Yes,Yes
Q1,6476922373,Yes,No
Q1,6478505634,Yes,Yes
Q1,6478638483,Yes,Yes
Q1,6478650062,Yes,Yes
Q1,6479717383,Yes,Yes
Q1,6479997748,Yes,Yes
Q1,6480014609,Yes,Yes
Q1,6480124934,Yes,Yes
Q1,6480434888,Yes,Yes
Q1,6483863173,Yes,Yes
Q1,6502472827,Yes,Yes
Q1,6502622339,Yes,Yes
Q1,6502851494,Yes,Yes
Q1,6502899871,Yes,Yes
Q1,6503365371,Yes,Yes
Q1,6504136646,Yes,Yes
Q1,6504195526,Yes,Yes
Q1,6504493957,Yes,Yes
Q1,6504496581,Yes,Yes
Q1,659065074,Yes,No
Q1,687283022,Yes,Yes
Q1,806223188,Yes,Yes
Q1,869648628,Yes,Yes
Q1,903930751,Yes,Yes
Q1,913335252,Yes,Yes
Q1,948111146,Yes,Yes
Q1,966098074,Yes,Yes
Q1,985365789,Yes,Yes
Q3,1019230398,Yes,Yes
Q3,1063248233,Yes,Yes
Q3,1112006222,Yes,Yes
Q3,1155742410,Yes,Yes
Q3,1157882317,Yes,Yes
Q3,1158555867,Yes,Yes
Q3,1193006281,Yes,Yes
Q3,1212999482,Yes,No
Q3,1218240628,Yes,Yes
Q3,1234966740,Yes,Yes
Q3,1236566346,Yes,Yes
Q3,1273620738,Yes,Yes
Q3,1276818064,Yes,Yes
Q3,1289018369,Yes,Yes
Q3,1291472331,Yes,Yes
Q3,1300107718,Yes,Yes
Q3,1312926037,Yes,Yes
Q3,1321563535,Yes,Yes
Q3,1332580637,Yes,Yes
Q3,1361356590,Yes,Yes
Q3,1373639965,Yes,Yes
Q3,1387949872,Yes,Yes
Q3,1396647655,Yes,Yes
Q3,1412024302,Yes,Yes
Q3,1421810571,Yes,Yes
Q3,1435692352,Yes,Yes
Q3,1436471710,Yes,Yes
Q3,1441112707,Yes,Yes
Q3,1444463273,Yes,Yes
Q3,1453180679,Yes,Yes
Q3,1458156758,Yes,Yes
Q3,1458846512,Yes,Yes
Q3,1460599496,Yes,Yes
Q3,1463607627,Yes,Yes
Q3,1465984722,Yes,Yes
Q3,1478859313,Yes,Yes
Q3,1485424497,Yes,Yes
Q3,1489944782,Yes,Yes
Q3,1490281801,Yes,Yes
Q3,1490544446,Yes,Yes
Q3,1491792162,Yes,Yes
Q3,1492803107,Yes,Yes
Q3,1493155192,Yes,Yes
Q3,1494699802,Yes,Yes
Q3,1498229813,Yes,Yes
Q3,1498350923,Yes,Yes
Q3,1499411785,Yes,Yes
Q3,1500085577,Yes,Yes
